,paper,schools,regions,COO
3820,A Kolmogorov Complexity Approach to Generalization in Deep Learning,International Business Machines;International Business Machines;International Business Machines,NAN,NAN
3821,Learning Invariants through Soft Unification,Imperial College London;Imperial College London,europe,uk
3822,Collapsed amortized variational inference for switching nonlinear dynamical systems,Google;Google;Google;Google,NAN,NAN
3823,ODE Analysis of Stochastic Gradient Methods with Optimism and Anchoring  for Minimax Problems and GANs,"University of California, Los Angeles;University of California, Los Angeles;University of California, Los Angeles",usa,usa
3824,Event Discovery for History Representation in Reinforcement Learning,University of Trento;University of Trento;University of Trento,europe,gr
3825,Learning to Rank Learning Curves,International Business Machines;International Business Machines,NAN,NAN
3826,Scoring-Aggregating-Planning: Learning task-agnostic priors from interactions and sparse rewards for zero-shot generalization,University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley,usa,usa
3827,Topic Models with Survival Supervision: Archetypal Analysis and Neural Approaches,Carnegie Mellon University;Carnegie Mellon University;;Carnegie Mellon University;Carnegie Mellon University,usa,usa
3828,Way Off-Policy Batch Deep Reinforcement Learning of Human Preferences in Dialog,Massachusetts Institute of Technology;Massachusetts Institute of Technology;Massachusetts Institute of Technology;Massachusetts Institute of Technology;Massachusetts Institute of Technology;Massachusetts Institute of Technology;Google;Massachusetts Institute of Technology,usa,usa
3829,Well-Read Students Learn Better: On the Importance of Pre-training Compact Models,Google;Google;Google;Google,NAN,NAN
3830,Model Imitation for Model-Based Reinforcement Learning,";Princeton University;Princeton University;University of California, San Diego",usa,usa
3831,Black Box Recursive Translations for Molecular Optimization,;Pfizer R&D;Pfizer R&D,NAN,NAN
3832,Improving the Generalization of Visual Navigation Policies using Invariance Regularization,Naver Labs Europe;Naver Labs Europe;Naver Labs Europe;Naver Labs Europe,NAN,NAN
3833,PatchFormer: A neural architecture for self-supervised representation learning on images,University of California Berkeley;University of California Berkeley,usa,usa
3834,Learning from Positive and Unlabeled Data  with Adversarial Training,Peking University;;Peking University;Alibaba Group;Peking University;Peking University;Peking University,asia,cn
3835,PNAT: Non-autoregressive Transformer by Position Learning,Zhejiang University;ByteDance;ByteDance;ByteDance;Zhejiang University;Zhejiang University;ByteDance,NAN,NAN
3836,Learning Boolean Circuits with Neural Networks,Hebrew University of Jerusalem;Hebrew University of Jerusalem,europe,il
3837,Stagnant zone segmentation with U-net,,NAN,NAN
3838,Model-based Saliency for the Detection of Adversarial Examples,University of Oxford;University of Oxford,europe,uk
3839,Learning Temporal Coherence via Self-Supervision for GAN-based Video Generation,Technical University Munich;Technical University Munich;Technical University Munich;Technical University Munich;Technical University Munich,NAN,NAN
3840,R-TRANSFORMER: RECURRENT NEURAL NETWORK ENHANCED TRANSFORMER,Michigan State University;Michigan State University;TAL Education Group;Michigan State University,usa,usa
3841,A closer look at network resolution for efficient network design,"University of North Carolina, Charlotte;University of North Carolina, Charlotte;Michigan State University;Michigan State University;University of North Carolina, Charlotte;University of North Carolina, Charlotte",NAN,NAN
3842,Learning in Confusion: Batch Active Learning with Noisy Oracle,University of Southern California;Amazon;Bosch,NAN,NAN
3843,On Predictive Information Sub-optimality of RNNs,Google;Princeton University;Google;Google,NAN,NAN
3844,Match prediction from group comparison data using neural networks,;Lunit Inc.;Korea Advanced Institute of Science and Technology,NAN,NAN
3845,Feature Partitioning for Efficient Multi-Task Architectures,Princeton University;Google;ByteDance;Stanford University;Princeton University,usa,usa
3846,Learnable Group Transform For Time-Series,Rice University;Rice University,australasia,au
3847,SesameBERT: Attention for Anywhere,;,asia,in
3848,Towards A Unified Min-Max Framework for Adversarial Exploration and Robustness,University of Toronto;Syracuse University;International Business Machines;International Business Machines;Shanghai Jiao Tong University;Syracuse University;University of California Berkeley,usa,usa
3849,Towards Scalable Imitation Learning for Multi-Agent Systems with Graph Neural Networks,;SUN YAT-SEN UNIVERSITY;Intel;SUN YAT-SEN UNIVERSITY,NAN,NAN
3850,Dual-module Inference for Efficient Recurrent Neural Networks,UC Santa Barbara;UC Santa Barbara;Alibaba Group;Alibaba Group;Alibaba Group;Alibaba Group;UC Santa Barbara;UC Santa Barbara,NAN,NAN
3851,On Federated Learning of Deep Networks from Non-IID Data: Parameter Divergence and the Effects of Hyperparametric Methods,Korea Advanced Institute of Science and Technology;Korea Advanced Institute of Science and Technology;Korea Advanced Institute of Science and Technology,NAN,NAN
3852,DeepXML: Scalable & Accurate Deep Extreme Classification for Matching User Queries to Advertiser Bid Phrases,Indian Institute of Technology Delhi;Indian Institute of Technology Delhi;Microsoft;Microsoft;;Indian Institute of Technology Delhi;Microsoft,NAN,NAN
3853,Few-Shot Regression via Learning Sparsifying Basis Functions,Singapore University of Technology and Design;;Singapore University of Technology and Design,NAN,NAN
3854,Address2vec: Generating vector embeddings for blockchain analytics,Ronin Institute;,asia,in
3855,Energy-Aware Neural Architecture Optimization with Fast Splitting Steepest Descent,"University of Texas, Austin;Facebook;University of Texas, Austin;Facebook;University of Texas, Austin",usa,usa
3856,Equilibrium Propagation with Continual Weight Updates,UPSud/INRIA University Paris-Saclay;;UPSud/INRIA University Paris-Saclay;Mila;University of Montreal,canada,ca
3857,IsoNN: Isomorphic Neural Network for Graph Representation Learning and Classification,;SUN YAT-SEN UNIVERSITY,NAN,NAN
3858,LDMGAN: Reducing Mode Collapse in GANs with Latent Distribution Matching,Zhejiang University;;Zhejiang University;Zhejiang University;Zhejiang University;Zhejiang University;Zhejiang University;Zhejiang University;Zhejiang University;Zhejiang University,asia,cn
3859,Reinforcement Learning with Chromatic Networks,Google;Google;Columbia University;Columbia University;Columbia University;University of California Berkeley;Google;Google;Google,NAN,NAN
3860,Generalized Natural Language Grounded Navigation via Environment-agnostic Multitask Learning,UC Santa Barbara;Google;Google;UC Santa Barbara;Google;Google,NAN,NAN
3861,Mincut Pooling in Graph Neural Networks,NORCE the Norwegian Research Center;Università della Svizzera Italiana;Università della Svizzera Italiana,europe,ch
3862,Off-Policy Actor-Critic with Shared Experience Replay,Google;Google;Google,NAN,NAN
3863,Striving for Simplicity in Off-Policy Deep Reinforcement Learning,Google;Google;Google,NAN,NAN
3864,Scheduling the Learning Rate Via Hypergradients: New Insights and a New Algorithm,Amazon;Istituto Italiano di Tecnologia;Amazon;;Università di Firenze,NAN,NAN
3865,Improving Federated Learning Personalization via Model Agnostic Meta Learning,";Google;Google;University of Washington, Seattle",NAN,NAN
3866,Understanding and Improving Transformer From a Multi-Particle Dynamic System Point of View,Stanford University;University of California Berkeley;Peking University;Carnegie Mellon University;Peking University;Microsoft;Peking University;Microsoft,NAN,NAN
3867,Optimising Neural Network Architectures for Provable Adversarial Robustness,University of Edinburgh;University of Edinburgh,europe,uk
3868,AN EFFICIENT HOMOTOPY TRAINING ALGORITHM FOR NEURAL NETWORKS,Pennsylvania State University;Pennsylvania State University,usa,usa
3869,Improving End-to-End Object Tracking Using Relational Reasoning,University of Oxford;University of Oxford;University of Oxford;University of Oxford;University of Oxford,europe,uk
3870,Bandlimiting Neural Networks Against Adversarial Attacks,York University;York University;York University,asia,kr
3871,NoiGAN: NOISE AWARE KNOWLEDGE GRAPH EMBEDDING WITH GAN,"University of California, Los Angeles;;Peking University;University of California, Los Angeles",usa,usa
3872,Gradient Surgery for Multi-Task Learning,Stanford University;Stanford University;University of California Berkeley;Google;University of California Berkeley;Stanford University,usa,usa
3873,Filter redistribution templates for iteration-lessconvolutional model reduction,University of Bristol;University of Bristol,europe,uk
3874,Value-Driven Hindsight Modelling,Google;Google;Google;Google;Google;Google;Google;Google,NAN,NAN
3875,JAUNE: Justified And Unified Neural language Evaluation,Massachusetts Institute of Technology;Bogazici University;Massachusetts Institute of Technology;Massachusetts Institute of Technology;Laval university,NAN,NAN
3876,Extreme Values are Accurate and Robust in Deep Networks,"Intel;;Tsinghua University, Tsinghua University",NAN,NAN
3877,"Scaling Laws for the Principled Design, Initialization, and Preconditioning of ReLU Networks",Facebook;Facebook,NAN,NAN
3878,Overcoming Catastrophic Forgetting via Hessian-free Curvature Estimates,Fraunhofer IIS;Fraunhofer IIS;Fraunhofer IIS;Fraunhofer IIS,NAN,NAN
3879,Learning Functionally Decomposed Hierarchies for Continuous Navigation Tasks,;Swiss Federal Institute of Technology;Swiss Federal Institute of Technology;Swiss Federal Institute of Technology,NAN,NAN
3880,Hindsight Trust Region Policy Optimization,Xi'an Jiaotong University;Xi'an Jiaotong University;Xi'an Jiaotong University;Xi'an Jiaotong University,NAN,NAN
3881,The Probabilistic Fault Tolerance of Neural Networks in the Continuous Limit,Swiss Federal Institute of Technology Lausanne;Swiss Federal Institute of Technology Lausanne;Swiss Federal Institute of Technology Lausanne;Swiss Federal Institute of Technology Lausanne,NAN,NAN
3882,Parallel Neural Text-to-Speech,Baidu;NVIDIA;Baidu;Baidu,NAN,NAN
3883,"Cross-Dimensional Self-Attention for Multivariate, Geo-tagged Time Series Imputation",Columbia University;Columbia University;Columbia University;Mitsubishi Electric Research Labs;Mitsubishi Electric Research Labs;Columbia University,usa,usa
3884,Differential Privacy in Adversarial Learning with Provable Robustness,New Jersey Institute of Technology;University of Florida;Bilkent University;New Jersey Institute of Technology;University of Oregon,europe,de
3885,On Layer Normalization in the Transformer Architecture,"Chinese Academy of Sciences;Peking University;Microsoft;Peking University;Microsoft;Microsoft;Institute of Computing Technology, Chinese Academy of Sciences;Peking University;Microsoft",NAN,NAN
3886,Learning RNNs with Commutative State Transitions,;Tel Aviv University,europe,il
3887,Deep Bayesian Structure Networks,"Tsinghua University, Tsinghua University;Tsinghua University, Tsinghua University;Tsinghua University, Tsinghua University;Tsinghua University, Tsinghua University",NAN,NAN
