,paper,schools,regions,COO
1838,Approximating CNNs with Bag-of-local-Features models works surprisingly well on ImageNet,"Centre for Integrative Neuroscience, AG Bethge;University of Tuebingen",europe,de
1839,"Attention, Learn to Solve Routing Problems!",University of Amsterdam;University of Amsterdam;University of Amsterdam,europe,nl
1840,Minimal Images in Deep Neural Networks: Fragile Object Recognition in Natural Images,Massachusetts Institute of Technology;Massachusetts Institute of Technology;Massachusetts Institute of Technology,usa,usa
1841,Detecting Egregious Responses in Neural Sequence-to-sequence Models,Massachusetts Institute of Technology;Massachusetts Institute of Technology,usa,usa
1842,Analyzing Inverse Problems with Invertible Neural Networks,Heidelberg University;Heidelberg University;Heidelberg University;Heidelberg University,europe,de
1843,Initialized Equilibrium Propagation for Backprop-Free Training,;University of Amsterdam;University of Amsterdam,europe,nl
1844,L2-Nonexpansive Neural Networks,International Business Machines;International Business Machines,NAN,NAN
1845,KnockoffGAN: Generating Knockoffs for Feature Selection using Generative Adversarial Networks,University of Oxford;Google;University of Oxford,europe,uk
1846,INVASE: Instance-wise Variable Selection using Neural Networks,Google;University of Oxford;University of Oxford,europe,uk
1847,Gradient Descent Provably Optimizes Over-parameterized Neural Networks,Carnegie Mellon University;Massachusetts Institute of Technology;Carnegie Mellon University;Carnegie Mellon University,usa,usa
1848,Phase-Aware Speech Enhancement with Deep Complex U-Net,Seoul National University;Seoul National University;NAVER;NAVER;NAVER;Seoul National University,asia,kr
1849,Context-adaptive Entropy Model for End-to-end Optimized Image Compression,Electronics and Telecommunicatios Research Institute;Electronics and Telecommunicatios Research Institute;Electronics and Telecommunicatios Research Institute,NAN,NAN
1850,Beyond Pixel Norm-Balls: Parametric Adversaries using an Analytically Differentiable Renderer,University of Toronto;University of Toronto;Carnegie Mellon University;McGill University;University of Toronto,canada,ca
1851,Multilingual Neural Machine Translation With Soft Decoupled Encoding,Carnegie Mellon University;Carnegie Mellon University;Monash University;Carnegie Mellon University,usa,usa
1852,Unsupervised Speech Recognition via Segmental Empirical Output Distribution Matching,Carnegie Mellon University;Tencent AI Lab;Tencent AI Lab;Tencent AI Lab,NAN,NAN
1853,Understanding Composition of Word Embeddings via Tensor Decomposition,Duke University;Duke University,europe,se
1854,Neural Message Passing for Multi-Label Classification,University of Virginia;University of Virginia;University of Virginia,usa,usa
1855,ARM: Augment-REINFORCE-Merge Gradient for Stochastic Binary Networks,"University of Texas, Austin;University of Texas, Austin",usa,usa
1856,An Empirical Study of Example Forgetting during Deep Neural Network Learning,;Microsoft;Microsoft;Microsoft;Mila;Microsoft,NAN,NAN
1857,Distribution-Interpolation Trade off in Generative Models,Jagiellonian University;Jagiellonian University;Jagiellonian University,NAN,NAN
1858,Practical lossless compression with latent variables using bits back coding,University College London;University College London;University College London,europe,uk
1859,Double Viterbi: Weight Encoding for High Compression Ratio and Fast On-Chip Reconstruction for Deep Neural Network,POSTECH;Samsung;POSTECH;POSTECH,asia,kr
1860,Zero-training Sentence Embedding via Orthogonal Basis,Stanford University;Microsoft;Microsoft,NAN,NAN
1861,Guiding Policies with Language via Meta-Learning,University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley;Massachusetts Institute of Technology;University of California Berkeley;University of California Berkeley;University of California Berkeley,usa,usa
1862,Towards the first adversarially robust neural network model on MNIST,"Centre for Integrative Neuroscience, AG Bethge;Centre for Integrative Neuroscience, AG Bethge;Centre for Integrative Neuroscience, AG Bethge;Centre for Integrative Neuroscience, AG Bethge",NAN,NAN
1863,Neural network gradient-based learning of black-box function interfaces,International Business Machines;International Business Machines;International Business Machines;International Business Machines;International Business Machines;International Business Machines;Tel Aviv University,europe,il
1864,Learning Multimodal Graph-to-Graph Translation for Molecule Optimization,Massachusetts Institute of Technology;Massachusetts Institute of Technology;Massachusetts Institute of Technology;Massachusetts Institute of Technology,usa,usa
1865,Lagging Inference Networks and Posterior Collapse in Variational Autoencoders,Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University,usa,usa
1866,Stable Opponent Shaping in Differentiable Games,;;Google;Facebook AI Research;University of Oxford,europe,uk
1867,DELTA: DEEP LEARNING TRANSFER USING FEATURE MAP WITH ATTENTION FOR CONVOLUTIONAL NETWORKS,"Baidu;Baidu;Baidu;University of Illinois, Urbana Champaign;Baidu;Baidu",NAN,NAN
1868,CAMOU: Learning Physical Vehicle Camouflages to Adversarially Attack Detectors in the Wild,;University of Central Florida;Army Reserach laboratory;International Computer Science Institute,NAN,NAN
1869,Visual Reasoning by Progressive Module Networks,University of Toronto;University of Toronto;University of Toronto,canada,ca
1870,Recurrent Experience Replay in Distributed Reinforcement Learning,Google;Google;Google;Google;Google,NAN,NAN
