institution,ranking
Bahçeşehir University,1132
Tomas Bata University in Zlín,1136
Saga University,1136
University of Peshawar,1136
Mie University,1136
University of Marrakech Cadi Ayyad,1136
Belarusian State University,1136
Anna University,1136
Banasthali University,1143
Hosei University,1144
Yamagata University,1145
University of West Bohemia,1145
L.N. Gumilyov Eurasian National University,1145
Gifu University,1145
Canterbury Christ Church University,1145
Tokyo University of Marine Science and Technology,1150
Southern Federal University,1150
Pontifical Catholic University of Paraná,1150
Nicolaus Copernicus University in Toruń,1150
Federal University of Lavras,1150
University of Carthage,1150
Azarbaijan Shahid Madani University,1150
Sophia University,1157
Nagoya Institute of Technology,1157
Kochi University,1157
Yıldız Technical University,1160
Ritsumeikan University,1160
National Changhua University of Education,1160
University of Miyazaki,1160
Minia University,1160
Lobachevsky State University of Nizhni Novgorod,1160
University of Valparaíso,1166
"University of Technology, Iraq",1166
State University of Ponta Grossa,1166
National Chung Cheng University,1166
Kagoshima University,1166
Université Hassan II de Casablanca,1166
