author_name,ratings,papers_accepted,papers_rejected,papers_submitted,gender,return_2021,first_author,last_author,first_time_author,gender_of_last_author
Richard Turner,"[[6, 6, 6]]",1,0,1,m,0,0,1,0,m
Archit Sharma,"[[8, 8, 8]]",1,0,1,m,0,1,0,1,m
Karol Hausman,"[[8, 8, 8], [6, 6, 6], [3, 6, 3], [3, 3, 3, 6]]",2,2,4,m,0,0,1,0,m
Logan Engstrom,"[[8, 8, 8], [8, 6, 8], [3, 3, 6]]",2,1,3,m,1,1,0,0,m
Aleksander Madry,"[[8, 8, 8], [8, 6, 8], [3, 3, 6]]",2,1,3,m,1,0,1,0,m
Liangjian Wen,"[[8, 6, 3, 6]]",1,0,1,u,1,1,0,1,m
Zenglin Xu,"[[8, 6, 3, 6]]",1,0,1,m,1,0,1,0,m
Biswajit Paria,"[[8, 3, 8]]",1,0,1,m,0,1,0,1,m
Barnabás Póczos,"[[8, 3, 8]]",1,0,1,m,0,0,1,0,m
Ben Mussay,"[[8, 3, 6]]",1,0,1,m,0,1,0,1,m
Dan Feldman,"[[8, 3, 6], [3, 6, 3]]",2,0,2,m,1,0,1,0,m
Steven K. Esser,"[[6, 8, 6]]",1,0,1,m,0,1,0,0,m
Dharmendra S. Modha,"[[6, 8, 6]]",1,0,1,m,0,0,1,0,m
Devendra Singh Chaplot,"[[6, 3, 8], [3, 3, 6]]",1,1,2,m,1,1,0,0,m
Ruslan Salakhutdinov,"[[6, 3, 8], [8, 6, 8], [3, 6, 8], [8, 8, 8], [3, 3, 3], [3, 3, 6], [3, 6, 6], [3, 3, 6], [6, 3, 3], [3, 3, 6]]",4,6,10,m,1,0,1,0,m
Junjie Yan,"[[6, 6, 8], [3, 6, 6, 8], [6, 6, 3, 3], [3, 3, 3]]",2,2,4,m,1,1,1,0,m
Jian Sun,"[[6, 6, 8], [3, 3, 3], [3, 3, 1], [3, 6, 3], [6, 8, 6], [3, 1, 3]]",1,5,6,m,1,0,1,1,m
Timothée Lacroix,"[[6, 6, 6], [3, 8, 3]]",1,1,2,m,0,1,0,1,m
Nicolas Usunier,"[[6, 6, 6], [3, 3, 6], [8, 3, 3], [3, 8, 3]]",1,3,4,m,1,0,1,0,m
Philip M. Long,"[[6, 3, 3], [6, 6, 6]]",2,0,2,m,0,1,0,0,f
Hanie Sedghi,"[[6, 3, 3], [8, 6, 6]]",2,0,2,f,1,0,1,0,f
Eleni Triantafillou,"[[3, 8, 6], [3, 3, 3]]",1,1,2,f,1,1,0,0,m
Hugo Larochelle,"[[3, 8, 6], [6, 8], [6, 6, 3], [6, 3, 3], [3, 6, 6]]",2,3,5,m,1,0,1,0,m
Shweta Mahajan,"[[8, 8, 6]]",1,0,1,f,0,1,0,1,m
Stefan Roth,"[[8, 8, 6]]",1,0,1,m,0,0,1,1,m
Nikaash Puri,"[[8, 6, 8]]",1,0,1,m,1,1,0,1,m
Sameer Singh,"[[8, 6, 8], [6, 6, 8], [3, 3, 1]]",2,1,3,m,1,0,1,0,m
Xingzhe He,"[[6, 6, 6]]",1,0,1,m,1,1,0,1,m
Bo Zhu,"[[6, 6, 6]]",1,0,1,m,1,0,1,1,m
Babak Ehteshami Bejnordi,"[[8, 6, 6], [1, 3, 1]]",1,1,2,m,0,1,0,1,m
Andrew Ilyas,"[[8, 6, 8], [3, 3, 6]]",1,1,2,m,1,1,0,0,m
Francesco Croce,"[[6, 6, 8], [6, 6, 6]]",1,1,2,m,0,1,0,1,m
Matthias Hein,"[[6, 6, 8], [6, 6, 6], [6, 6, 6], [3, 3, 6], [1, 1, 3]]",2,3,5,m,1,0,1,0,m
Shiori Sagawa*,"[[8, 3, 6]]",1,0,1,f,0,1,0,1,m
Percy Liang,"[[8, 3, 6], [6, 6, 6], [3, 6, 3], [3, 3, 3]]",2,2,4,m,1,0,1,0,m
Jiadong Lin,"[[6, 6, 3], [6, 3, 8]]",2,0,2,m,0,1,0,1,m
John E. Hopcroft,"[[6, 6, 3], [6, 3, 8], [3, 3, 3], [1, 3, 3]]",2,2,4,m,1,0,1,0,m
Jiemin Fang*,"[[6, 6, 6]]",1,0,1,m,0,1,0,1,m
Xinggang Wang,"[[6, 6, 6]]",1,0,1,m,0,0,1,1,m
Zhuozhuo Tu,"[[6, 6, 6]]",1,0,1,u,1,1,0,1,m
Dacheng Tao,"[[6, 6, 6], [6, 6, 3], [6, 6, 3], [6, 3, 3]]",2,2,4,m,1,0,1,1,m
Fengxiang He,"[[6, 6, 3]]",1,0,1,m,1,1,0,1,m
Samuel Humeau,"[[8, 8, 6]]",1,0,1,m,0,1,0,0,m
Jason Weston,"[[8, 8, 6], [6, 6, 3], [3, 1, 3]]",2,1,3,m,0,0,1,0,m
Jiaming Song,"[[6, 6, 6], [1, 6, 1], [3, 6, 8]]",1,2,3,m,1,1,0,0,m
Guneet Singh Dhillon,"[[6, 6, 6]]",1,0,1,m,0,1,0,1,m
Stefano Soatto,"[[6, 6, 6], [6, 8, 8], [6, 6, 6], [6, 8, 6]]",3,1,4,m,1,0,1,0,m
Suraj Nair,"[[6, 6], [6, 3, 6]]",1,1,2,m,1,1,0,1,m
Yurong You,"[[6, 6, 6]]",1,0,1,m,1,1,0,0,m
Kilian Q. Weinberger,"[[6, 6, 6], [8, 3, 6], [3, 3, 3], [3, 3, 3], [3, 3, 1, 1]]",2,3,5,m,0,0,1,0,m
Shiwen Zhang,"[[6, 6, 3]]",1,0,1,u,0,1,0,1,m
Limin Wang,"[[6, 6, 3], [3, 3, 1]]",1,1,2,m,1,0,1,1,m
Ping-yeh Chiang*,"[[6, 6, 6]]",1,0,1,m,0,1,0,1,m
Byung Hoon Ahn,"[[6, 6, 3]]",1,0,1,m,0,1,0,1,m
Hadi Esmaeilzadeh,"[[6, 6, 3]]",1,0,1,m,1,0,1,1,m
Vitor Guizilini,"[[6, 6, 3], [6, 8, 6]]",2,0,2,m,0,1,0,0,m
Adrien Gaidon,"[[6, 6, 3]]",1,0,1,m,1,0,1,0,m
Daniel Jarrett,"[[8, 6, 6, 8]]",1,0,1,m,1,1,0,1,f
Mihaela van der Schaar,"[[8, 6, 6, 8], [6, 6, 8], [3, 3, 6], [1, 3, 3], [3, 6, 3, 6]]",2,3,5,f,1,0,1,0,f
Jessica Lee,"[[6, 6, 6]]",1,0,1,f,0,1,0,1,m
Rohit Girdhar,"[[6, 6, 6], [8, 8, 8]]",2,0,2,m,1,1,1,1,m
Yichi Zhou,"[[8, 8, 3], [6, 6, 8]]",2,0,2,m,0,1,0,0,m
Jun Zhu,"[[8, 8, 3], [6, 6, 6], [8, 3], [6, 6, 8], [6, 6, 6], [8, 8, 6], [6, 6, 8, 6], [6, 6, 3], [3, 3, 6], [1, 6, 1], [6, 3, 3], [1, 3, 1], [1, 6, 1]]",7,6,13,m,1,0,1,0,m
Nitish Gupta,"[[6, 6, 8]]",1,0,1,m,1,1,0,0,m
Matt Gardner,"[[6, 6, 8]]",1,0,1,m,1,0,1,0,m
Leopold Cambier,"[[6, 6, 1, 8]]",1,0,1,m,0,1,0,1,m
Hanlin Tang,"[[6, 6, 1, 8]]",1,0,1,m,1,0,1,1,m
Yang Yang,"[[3, 6, 6], [1, 3, 3]]",1,1,2,m,1,1,0,0,m
Symeon Chatzinotas,"[[3, 6, 6]]",1,0,1,m,0,0,1,1,m
Binxin Ru,"[[6, 3, 6]]",1,0,1,m,1,1,0,1,m
Yarin Gal,"[[6, 3, 6], [6, 8, 1, 8], [6, 1, 3]]",2,1,3,m,1,0,1,0,m
Chen Xing,"[[6, 6, 6]]",1,0,1,f,1,1,0,0,m
Tomas Pfister,"[[6, 6, 6], [6, 3], [6, 6, 3], [6, 6, 3, 3], [3, 6, 3], [6, 6], [6, 3, 3], [3, 3], [1, 3, 3]]",1,8,9,m,1,0,1,0,m
Jack W. Rae,"[[8, 8, 6], [6, 6, 6]]",2,0,2,m,0,1,0,0,m
Timothy P. Lillicrap,"[[8, 8, 6]]",1,0,1,m,0,0,1,0,m
Zhengdao Chen,"[[8, 8, 6]]",1,0,1,m,1,1,0,0,m
Léon Bottou,"[[8, 8, 6]]",1,0,1,m,0,0,1,0,m
Youngwoon Lee,"[[6, 6, 6]]",1,0,1,m,1,1,0,1,m
Joseph J. Lim,"[[6, 6, 6], [6, 8, 8], [6, 6, 3], [3, 3, 6]]",2,2,4,m,0,0,1,0,m
Zhenyu Shi*,"[[6, 8, 6]]",1,0,1,m,0,1,0,1,m
Bo An,"[[6, 8, 6], [3, 3, 1]]",1,1,2,m,1,0,1,1,m
Aniruddh Raghu,"[[3, 8, 8]]",1,0,1,m,1,1,0,1,m
Oriol Vinyals,"[[3, 8, 8], [6, 6, 8]]",2,0,2,m,0,0,1,0,m
David Dehaene,"[[3, 6, 8]]",1,0,1,u,0,1,0,1,u
Pierre Eline,"[[3, 6, 8]]",1,0,1,u,0,0,1,1,u
Yuzhe Yang,"[[8, 6, 8]]",1,0,1,m,0,1,0,1,f
Dina Katabi,"[[8, 6, 8], [6, 3, 8]]",2,0,2,f,1,0,1,0,f
Kai Fong Ernest Chong,"[[8, 6, 6, 6], [8, 6, 6, 6]]",2,0,2,m,1,1,1,1,m
